Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_01_LoginFunction,Chrome 67.0.3396.99,,2018-07-12 16:28:15,2018-07-12 16:28:24,9.336s,FAILED
,,,,,,
Test Cases/TC05_LoginWithValidUsernamePasswordButFail,Chrome 67.0.3396.99,,2018-07-12 16:28:15,2018-07-12 16:28:24,8.981s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:15,2018-07-12 16:28:18,3.020s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 16:28:18,2018-07-12 16:28:19,0.842s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:19,2018-07-12 16:28:20,0.327s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 16:28:20,2018-07-12 16:28:20,0.159s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:28:20,2018-07-12 16:28:23,2.846s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 16:28:23,2018-07-12 16:28:23,0.259s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 16:28:23,2018-07-12 16:28:23,0.430s,FAILED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 16:28:23,2018-07-12 16:28:24,0.692s,PASSED
